"weight";"lat";"lon"
20430;42.5;1.5166667
3292;42.5666667;1.6
11224;42.5333333;1.5833333
7211;42.55;1.5166667
15854;42.5;1.5333333
2553;42.55;1.5333333
8020;42.4666667;1.5
603687;24.466667;54.366667
1137376;25.258172;55.304717
543942;25.35731;55.403304
15098;34.082481;70.668152
10023;32.758698;61.653969
27034;35.633484;69.260195
48400;34.873113;71.14697
15708;35.033328;71.358087
47877;36.26468;68.015512
12526;34.173553;69.645728
108481;36.130684;68.708286
30256;34.493761;69.274274
22305;33.9675;68.948611
23424;37.397734;69.814644
53693;35.016585;69.174011
12778;35.416737;65.982341
13603;36.432589;64.920713
17674;36.98782;66.82066
25683;32.624131;65.459659
12120;36.706932;71.570658
43574;32.374508;62.116383
6815;34.508977;68.260739
103732;33.597439;69.225922
143049;33.550833;68.4225
43638;31.820894;64.570048
272880;34.348167;62.199673
200389;34.426468;70.45153
12121;36.864768;70.834207
3043589;34.516667;69.183333
64954;36.697362;67.698255
96246;33.339512;69.92041
12087;34.653889;61.197778
16952;33.29565;61.952206
11635;35.489361;66.664088
17350;34.671389;70.209444
14160;30.436244;61.838304
22389;36.064904;69.13343
17072;34.95;70.4
10665;32.901111;69.152798
49173;34.5875;68.953333
13471;34.387949;67.023273
391230;31.613323;65.710126
8942;37.039988;66.788912
15023;37.404464;66.074375
161943;36.728955;68.857001
25644;37.126035;69.83045
11034;30.15;62.6
15967;34.107375;64.305199
13579;32.072752;64.835903
52138;36.215443;65.932487
7368;33.146667;68.791667
55658;36.667567;65.752904
29273;33.302944;62.1474
6400;34.855007;69.64917
64275;36.734133;69.533559
14398;33.521176;64.421156
6979;34.594307;61.268951
12021;35.948308;66.42132
13400;32.927751;66.632534
33894;30.966667;61.883333
2526;17.05;-61.8
831;17.1333333;-61.8
682;17.6333333;-61.8333333
623;17.05;-61.7
1668;17.0333333;-61.7833333
623;17.0166667;-61.8333333
969;17.0833333;-61.7666667
727;17.05;-61.8
1379;18.2166667;-63.05
7967;42.3572222;20.0730556
10361;40.5988889;19.7347222
47606;40.7058333;19.9522222
7114;40.6275;20.99
11212;41.4916667;20.2219444
15539;41.6102778;20.0088889
14269;41.0316667;19.9758333
14046;40.5041667;20.2272222
3916;39.9511111;20.0977778
122034;41.3230556;19.4413889
100903;41.1125;20.0822222
7890;40.3377778;20.6788889
59719;40.7238889;19.5561111
742;42.2647222;20.0269444
742;42.2605556;20.0169444
2438;42.0622222;20.0166667
10458;41.4783333;19.7177778
23437;40.0758333;20.1388889
11556;40.8697222;20.1844444
4596;40.1016667;19.7447222
11026;41.3816667;19.7602778
29354;41.1855556;19.5569444
2486;40.3130556;20.1894444
1177;41.2155556;19.9713889
683;41.4844444;20.1080556
1349;39.6588889;20.1813889
4078;42.2136111;19.4363889
58259;40.6186111;20.7808333
1168;41.4225;20.205
21286;41.5091667;19.7927778
18166;40.8002778;19.9166667
17972;42.0769444;20.4219444
1429;41.7797222;20.0836111
24825;41.6355556;19.7130556
2655;40.1513889;20.5972222
18695;41.7836111;19.6436111
3651;40.0311111;20.2630556
12691;41.1794444;20.315
41423;40.9419444;19.705
3735;40.7058333;20.6997222
8282;41.5775;19.6922222
4951;40.3458333;19.9791667
2157;41.6802778;19.7244444
2604;40.3252778;19.4713889
22679;40.6833333;19.6194444
7513;41.0461111;19.7511111
10686;40.2336111;20.3516667
4015;41.0730556;20.5488889
15261;41.685;20.4288889
25758;40.9025;20.6525
10663;40.6122222;20.0980556
6495;42.0444444;19.8997222
6657;40.7375;19.7022222
10064;41.7675;19.8755556
5620;41.0763889;19.6652778
2332;41.7744444;19.7861111
15147;39.8755556;20.0052778
6912;40.5305556;19.6358333
2698;41.8136111;19.5938889
14138;41.3455556;19.5672222
89102;42.0675;19.5130556
11955;40.2958333;20.0191667
374801;41.3275;19.8188889
600;41.6827778;19.8933333
89528;40.4666667;19.4897222
